,m2,m3,m4,k5,k6,alpha,beta,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3,k5plusk6
1627,0.916888530667606,1.0,1.0,0.93452397114593,1.13388997149,0.895925571992625,0.0001,23.0530993046592,64.46851970773811,88.2550493686235,0.0205844365285403,0.0101719767431328,0.00948852755126298,0.333922711252613,0.600933904076746,0.7262052504910609,0.744621714109146,0.25705805812848004,-0.616002968847043,0.571768669879066,-0.718253787189568,0.396474570852364,2.06841394263593
1628,1.0641580794902,1.0,1.0,1.1201769458966397,0.915923686564177,0.9267019602161801,0.0001,22.724145177080302,61.8251618254725,86.0596392457171,0.0215264567285781,0.0105857954555526,0.00968705023526805,0.338319450064257,0.60089122208361,0.7242027954455049,0.7619228812795559,0.19654308622008,-0.6171258690427309,0.487840895580027,-0.752934859906057,0.441701661008789,2.036100632460817
1629,1.17386434405743,1.0,1.0,0.901155630648418,1.08080563524921,0.455302518378897,0.0001,22.3109296958134,59.514937621655505,84.09760986497271,0.0113191223599442,0.00680085820308349,0.00691186895995921,0.3415837843873811,0.600849236013455,0.7227037524640658,0.7684359431680842,0.156049055366679,-0.6206084865408671,0.43528397779335,-0.769585985220202,0.467188687822221,1.981961265897628
1630,1.08103967406506,1.0,1.0,0.948955216000277,1.10574296751578,0.675447090425231,0.0001,22.8105561712796,61.86903412801371,86.31092159378191,0.0159461093861327,0.00855213637359657,0.00822841746560353,0.338822488433904,0.600885354272956,0.7239724527575079,0.7632405531313009,0.190068470562162,-0.6175255740080621,0.47920598598867103,-0.7559230005157141,0.446029192188073,2.0546981835160567
1631,0.9386485973769281,1.0,1.0,1.05915813145295,1.1160420786329,0.44723479442464004,0.0001,23.6175417362284,65.7772750178294,90.2370280660791,0.0106491530403458,0.0066884786378998,0.0069899626558319605,0.33456832526894104,0.600928092617148,0.7259128482333492,0.7478941819558349,0.24767011634677302,-0.6158845720306589,0.5584371036074449,-0.7244912677727181,0.40405495199985797,2.17520021008585
1632,1.18568673845079,1.0,1.0,0.8737736219640279,1.0753818809736502,0.8626685856321541,0.0001,22.1139818738073,58.8671586152293,83.32344182131679,0.0206107479880502,0.0102706061665582,0.00934279798661013,0.341936181592274,0.600844264367171,0.722541222142494,0.7688700636846679,0.151897410393417,-0.621100637485834,0.430106311271964,-0.7710327818342321,0.46959238743935205,1.949155502937678
1633,1.18419287948376,1.0,1.0,0.9792192596706559,1.06406423153143,0.42443881237001,0.0001,22.6426521910314,60.2909187174183,85.3210156166685,0.0105046837857316,0.0065344692776163,0.00675335596847156,0.341886591791024,0.6008445418577211,0.7225644572446831,0.768815845610463,0.152435674227302,-0.6210358771932081,0.430764895610007,-0.77085450500487,0.4692812981824411,2.043283491202086
1634,1.0280813093683,1.0,1.0,1.15014593276694,0.87558504906353,0.639018663809664,0.0001,22.7022912681265,62.177985964981396,86.15842793276741,0.0152089950420382,0.00824752399497925,0.008016314613560841,0.33724204768777505,0.60090304469362,0.72469533746899,0.758679836462208,0.210694006023269,-0.616451897208164,0.506981277221607,-0.745942306287605,0.4319028365698429,2.02573098183047
1635,0.965162004066467,1.0,1.0,0.95630385622742,0.9843448925652378,0.840180780786566,0.0001,22.283954309256895,61.7522249413365,84.94553915509469,0.0199658968492871,0.0098904494408478,0.009192685443963379,0.335381641903932,0.600922819819351,0.725541810576194,0.7515442843568879,0.236384188054948,-0.6158763709447671,0.542568068482757,-0.7315399745879979,0.41287910657077603,1.9406487487926578
1636,0.842200733189542,1.0,1.0,1.03352573930675,0.967055435934881,0.492038232143193,0.0001,22.7471954767842,64.5152469938733,87.79709190181542,0.0119527203323935,0.007039110793317291,0.00719198749420789,0.33169506117623704,0.600950029221192,0.727212107139547,0.7312314273663401,0.290525598759026,-0.6171672999256321,0.619728820970859,-0.6932929931143211,0.36780567444868795,2.000581175241631
1637,1.1411525249669,1.0,1.0,0.929183021340886,0.818936483938499,0.774329417604692,0.0001,20.9867434113155,56.3054297686171,79.1907113341862,0.0194973978121695,0.009691423803394059,0.00884855223646025,0.34064211371935704,0.6008644889477579,0.723135406602635,0.767002069183048,0.167664705649983,-0.619351574106523,0.45003146631272495,-0.7652764156862,0.46024307373702206,1.748119505279385
1638,0.8104229597951619,1.0,1.0,0.802391472988253,0.9702410609357199,0.38462053142193703,0.0001,21.4438010922956,61.1801875352655,83.1066528200156,0.0100402957325654,0.00620235156665564,0.00646935026640605,0.330762314382352,0.6009572910307429,0.727630830669936,0.7244683923269392,0.30526583475293895,-0.618027765275811,0.640952632112262,-0.680873514391564,0.354388178116094,1.7726325339239728
1639,0.844293791176237,1.0,1.0,1.0401503749959,0.948469386696515,0.436868606558619,0.0001,22.6770919516612,64.2909790077533,87.50350787484061,0.0107662321024046,0.00661213771435307,0.00687146728575414,0.33175843271884603,0.6009497142797121,0.7271834591264209,0.731654989033251,0.289560947374896,-0.617118655347662,0.618342300240541,-0.6940733930914339,0.368666413897144,1.988619761692415
1640,1.01775111575933,1.0,1.0,0.9622398041579291,1.1546367707092098,0.5167007454989,0.0001,23.2176521583183,63.712149283264104,88.17396405368771,0.012288208279255,0.00724057003779095,0.00733870566790357,0.33693129140125,0.6009060970310071,0.724837338597874,0.757639376705409,0.21483562203360104,-0.616302060982174,0.512642028579725,-0.743778462053722,0.42894259513210403,2.1168765748671388
1641,0.9480535717929051,1.0,1.0,0.9762898548285909,0.844336474249927,0.64522276816066,0.0001,21.6011911297238,60.0519149906697,82.4560964964238,0.0160149485597686,0.00837480389459925,0.00803532795899017,0.33488075746706003,0.600928190172061,0.7257686880369109,0.7492518823094599,0.24358603392133502,-0.615863183616463,0.5527116577632579,-0.7270791215769291,0.40726622047441297,1.8206263290785178
1642,0.85568858372835,1.0,1.0,1.0593479340909102,1.1830395742022901,0.7289384367252779,0.0001,24.0662187785793,68.0852034861975,92.7428603662093,0.0163477431899353,0.0087573941620592,0.00856703276935901,0.33207901679044,0.600945791488009,0.72704035809599,0.733892814395413,0.28438197505297197,-0.616869701998526,0.6108694674213659,-0.698216504279978,0.37327229594946204,2.2423875082932003
1643,1.11832137321812,1.0,1.0,0.9695338611974141,0.858636807991437,0.6154949482973571,0.0001,21.4829271370293,57.87370805987129,81.1404249976584,0.0153993579508851,0.00821125498539462,0.0078497973556556,0.3399546547127639,0.600872953642266,0.723451813405941,0.7657448709574509,0.17603480526832896,-0.618584303014956,0.460809600387082,-0.7619517041212779,0.4550649544601071,1.828170669188851
1644,1.1319428006028798,1.0,1.0,0.922810696576871,1.16009770031443,0.648845797461972,0.0001,22.9138998800056,61.5806763096322,86.5049397829774,0.0153040399772872,0.00834729198048563,0.00807558648835262,0.340328860777274,0.600865857990197,0.7232817481616328,0.766490951105147,0.171106446078405,-0.619042975878368,0.45440121437791203,-0.7639455533330791,0.458155790004333,2.082908396891301
1645,0.8267003910951001,1.0,1.0,0.8695207959183822,0.826950306909553,0.827588825096383,0.0001,20.964420493506502,59.629390915002396,81.0666900850959,0.0207861584875296,0.009920906730087279,0.00915770483626445,0.331262954982663,0.6009557475002759,0.7274043196204829,0.7280329769488331,0.297639475999885,-0.617558682880852,0.6300024345496961,-0.6873950090900861,0.36136551293599606,1.6964711028279351
1646,0.912647618207487,1.0,1.0,1.1211925567187802,0.850170141141965,0.5515045840951059,0.0001,22.5104677762008,63.000658405616,86.2110822560449,0.0133754818496239,0.007527007723633091,0.007509125313240191,0.33379984898237797,0.6009351893027621,0.72626066882146,0.7439542757130949,0.25889598891654897,-0.6160396923665931,0.5743922579441619,-0.7169899110160141,0.394967089154344,1.9713626978607453
1647,0.882894575991693,1.0,1.0,0.8735754993387671,1.09382230674357,0.788252106481683,0.0001,22.51749300202,63.3753114697952,86.5007201545513,0.0186289807887953,0.00938768671090952,0.008881368708921741,0.332913110456379,0.600942111795188,0.726661846499043,0.738955480819231,0.272050826060411,-0.616387171676266,0.5931959773500028,-0.7076060427869929,0.38394299142855504,1.967397806082337
1648,1.1906666537844899,1.0,1.0,1.07312641504176,1.1290488327709298,0.41394584509773297,0.0001,23.4983820772138,62.5000719203253,88.5319667870415,0.00998288394200728,0.00643656658497898,0.00676443091950258,0.34206472271802,0.60084092406349,0.722483155127077,0.7690271224553961,0.15021457165875302,-0.621315433084799,0.427989016752679,-0.7716210549488841,0.47055961269391405,2.20217524781269
1649,0.828960760674783,1.0,1.0,0.991104270611054,0.945975248573772,0.721644040072972,0.0001,22.396842780840398,63.6792949621048,86.58885895576029,0.0172302387666267,0.008850202436044109,0.0084965151068102,0.331304228057938,0.600952902407887,0.727387872842592,0.7284932893053431,0.296636661688144,-0.617498354961044,0.628526700040153,-0.6882537366450301,0.362299574014087,1.937079519184826
1650,1.11255077041079,1.0,1.0,1.0493874478257,0.8171039074405021,0.659795471083964,0.0001,21.7116403156433,58.55126049650471,82.02697300672841,0.0162800927116469,0.00856190358370477,0.008123168781036541,0.33977342398599697,0.600874550449649,0.723535621082171,0.7653880292178079,0.178188824907864,-0.6184091747443872,0.463602735687986,-0.7610617392868709,0.45371525481986896,1.8664913552662021
1651,1.12980289215121,1.0,1.0,1.00980569210984,1.18981443570672,0.64597100520428,0.0001,23.5486483562348,63.31166126517489,88.9111569713834,0.0148931031335665,0.00826709976311737,0.00807823464306223,0.34025822392916605,0.6008662068702,0.723314691189103,0.76637055384964,0.17190786947254502,-0.618969998146603,0.455421662122385,-0.763634279778855,0.45766122450598,2.19962012781656
1652,1.1766978286927299,1.0,1.0,1.10846008781575,1.19537586310433,0.652505795436548,0.0001,24.048890074147,64.121689933039,90.64767138486151,0.0147686795638666,0.00829411156042151,0.008131515069309609,0.341642883732974,0.6008465176705601,0.7226780764612819,0.7685281249247231,0.155116566991446,-0.620728098159313,0.434081381892564,-0.769930162282563,0.46774020470961103,2.30383595092008
1653,1.0778001516765,1.0,1.0,0.988793622953511,0.901901079488999,0.42288614608289293,0.0001,21.886137254435102,59.39525113796721,82.8217456962703,0.010755357094133,0.00652969477646173,0.00669407692441089,0.33874386438316195,0.6008876248604289,0.7240073595153259,0.763011699906226,0.1912633495268,-0.617439452038822,0.48081572953804796,-0.7553744228994359,0.445225465868854,1.89069470244251
1654,1.15550588691012,1.0,1.0,1.08186251610776,0.8351987937995501,0.7270168192553259,0.0001,21.9609703163321,58.7710924614919,82.82936662161329,0.0176505235051097,0.00912371117337958,0.00853010987327596,0.341042051287065,0.600857061644982,0.7229530487696059,0.7676677320478571,0.162558010957031,-0.619888011052152,0.44349590707109704,-0.7672176376347428,0.46334487901923405,1.91706130990731
1655,1.1637551413933798,1.0,1.0,1.09357553999285,0.902009246037648,0.415141272076952,0.0001,22.397460744808697,59.852430604481604,84.45279710118992,0.0103874702538966,0.0064606617755965,0.0066804700009809705,0.341281845842104,0.600853329618315,0.7228429829397192,0.7680258231287758,0.159631646154724,-0.620204863374433,0.439785132384762,-0.768300190363259,0.46508478240112106,1.995584786030498
1656,0.901142224229661,1.0,1.0,1.06601185474203,0.9911682599244471,0.618290760227501,0.0001,23.0067759777803,64.53034694882909,88.21316275174308,0.0145874836076279,0.00801721490290099,0.00791518465641845,0.333455711155904,0.6009377365103461,0.726416633575617,0.742084484819447,0.263960012467879,-0.616145866827177,0.581612556850259,-0.7134629262622281,0.390765257620792,2.057180114666477
1657,0.914896228186491,1.0,1.0,1.06626337566541,1.00487572721688,0.7046145273774621,0.0001,23.070659968217804,64.541809910569,88.3383090565927,0.0164243262316868,0.00868568043066239,0.00840507499474462,0.33386630748212504,0.600934511874302,0.7262306804085359,0.744311826154196,0.257926043147629,-0.616014660307052,0.5730060173792819,-0.717662975691741,0.39575744764743104,2.07113910288229
1658,0.991019184453102,1.0,1.0,0.9333710943101681,1.15740964539514,0.539092733707283,0.0001,23.1015042594854,63.7099128664122,87.89421024367559,0.0128229889765327,0.00741633423767005,0.0074614238801418,0.33613476750280397,0.600914224749278,0.7252003258202601,0.7547086202532449,0.22568775750773498,-0.616019427150291,0.527621170884182,-0.7378180017761842,0.420999401768938,2.090780739705308
1659,1.01757810826835,1.0,1.0,0.873812893978958,1.18586331124311,0.850135518497947,0.0001,22.9018463504834,62.8473008516199,86.97567878553541,0.0197055064249471,0.00990586553581939,0.00923598627192867,0.33692454513737,0.6009061805481911,0.724840405236187,0.7576180857519521,0.21490118493895397,-0.616305376297644,0.512735033623957,-0.7437374326340319,0.4289025723792961,2.0596762052220683
1660,0.8845743377593259,1.0,1.0,1.0067786497053701,0.8204541463018921,0.5723160761724311,0.0001,21.7005045950357,61.0550972849276,83.3424305748358,0.0142717250693961,0.0077396369240864205,0.00760064308935467,0.332978307514766,0.600942936024135,0.7266312918993341,0.739264331428968,0.271272653625054,-0.616359794010043,0.5920994582442839,-0.708171606289445,0.384592261482538,1.8272327960072623
1661,0.934216164907458,1.0,1.0,0.938923295517315,0.81968120244528,0.4577527852786571,0.0001,21.243726233464198,59.211636101927006,81.1876820447076,0.0118360209232541,0.00682597728260203,0.00687848649337829,0.334474576087414,0.6009323285517622,0.7259525428376851,0.7472795797010631,0.24948881846274,-0.6158965491248249,0.561065090460947,-0.723284336103255,0.402573885657928,1.758604497962595
1662,0.884583155666793,1.0,1.0,0.881762873380525,1.08078536932648,0.42681695256156293,0.0001,22.488207854944,63.272635833752204,86.37210964963708,0.0106142052831322,0.00653647188067588,0.0067894085660666,0.332965112292612,0.6009418727517789,0.726638217801371,0.739254986184898,0.271294797030707,-0.616361256492354,0.5921141945975971,-0.708163326515938,0.38458481968730895,1.962548242707005
1663,0.9315324591841421,1.0,1.0,0.9017397795523729,1.0075156236449,0.669708264965335,0.0001,22.1359462664818,61.731331842996596,84.6230056017513,0.0162339635536763,0.00851094550546554,0.00818816087353143,0.334378509918541,0.6009317472508571,0.725997277715756,0.746870708250578,0.250678075737683,-0.6159096098468779,0.562728817468239,-0.7225152163696009,0.40163172198568503,1.909255403197273
1664,0.896779892523389,1.0,1.0,0.862187678075426,1.14232755373221,0.484037764929914,0.0001,22.714409467459603,63.7625311508858,87.1313765223827,0.0117905821299202,0.0069837551178647105,0.007134200538271441,0.333322320441727,0.600938652418702,0.7264770930487329,0.7413501731745429,0.265881160306706,-0.6162038050256059,0.584358581913172,-0.7120907035735129,0.38916818681465404,2.004515231807636
1665,1.0148451262320402,1.0,1.0,1.0562537775695,1.14680969232371,0.9217875366848771,0.0001,23.6882030222967,65.0391273806557,89.97960966816791,0.0206410899219533,0.0103383641003941,0.0096211828300119,0.336840567237207,0.6009066179900511,0.724879071789961,0.7573356124099159,0.21601676629842698,-0.6162625470152061,0.5142553356862021,-0.743154833216269,0.428091513096874,2.20306346989321
1666,1.02847921845612,1.0,1.0,1.10611551284991,1.08359825119015,0.917867082449645,0.0001,23.6022425772235,64.6391594486134,89.5739809392,0.0206246011760112,0.0103318885262922,0.00960221297805801,0.337248614771595,0.60090242345935,0.7246927965112672,0.7587169909072751,0.210556437718637,-0.616453172790804,0.5067802998651479,-0.7460244571871101,0.431996802010464,2.18971376404006
1667,1.05140038656206,1.0,1.0,1.01876338428836,1.02472207177237,0.4388623372499821,0.0001,22.778612724358002,62.11869159136889,86.3261486357218,0.0107721411898327,0.0066383846368167,0.00685819275333595,0.33794399695759003,0.60089582570473,0.724374255182333,0.7608494646269391,0.201491465501109,-0.6168543438341949,0.49449643411603705,-0.750565510284103,0.43832030687442297,2.04348545606073
1668,1.06982320338565,1.0,1.0,0.8734708317689301,1.0569281126988601,0.587070462660862,0.0001,22.121914581020302,60.123233823499696,83.7504797865863,0.0143750752004182,0.00788838787869418,0.00769240208865732,0.3384996038305169,0.600890062304672,0.7241195697052181,0.7623871399683079,0.194332768040979,-0.6172524800083629,0.48490002013699396,-0.75396296020615,0.443183737414091,1.9303989444677903
1669,1.06864120892936,1.0,1.0,1.13599180908657,1.1163252008229099,0.7926102999146479,0.0001,23.8940712181648,64.9564294588909,90.4730569020362,0.0177806236957897,0.009348913384083009,0.00890401925201565,0.33843964373584,0.600888697217031,0.724148728580515,0.762275772892315,0.194850352247754,-0.617226851562981,0.4855541310991421,-0.753739807582644,0.44284702577508295,2.25231700990948
1670,1.01939643546799,1.0,1.0,0.8043921672646891,1.1237290537316,0.8228470886603271,0.0001,22.1577026951578,60.783478075036,84.13623922024541,0.0196758545188992,0.00980784781813845,0.00909678014893625,0.33698987173142997,0.600906352943271,0.724809893242947,0.757813038652039,0.21414361831787898,-0.616329383676204,0.511713131062158,-0.74413023195454,0.429441345692104,1.9281212209962892
1671,1.06040992509288,1.0,1.0,0.821538003430939,0.9773973580581609,0.499918352656466,0.0001,21.365737612441897,58.1670248401094,80.9245010955057,0.0127673530924254,0.0072056171773968,0.00713501972371847,0.338234779342255,0.600894359819083,0.7242397409566191,0.761634438777915,0.197930346699142,-0.617038539738814,0.489737874071508,-0.7522640813371159,0.44074433249895095,1.7989353614890997
1672,0.972987353717795,1.0,1.0,1.1982088152685302,1.18297237218043,0.70396909085639,0.0001,24.6714919650501,68.2719746247208,94.0007039445718,0.0155004276166235,0.0085692214574778,0.00844452359758794,0.335579476305312,0.6009178681543149,0.7254544305575129,0.7525153578663201,0.23319102472523898,-0.6159079331871911,0.538047557383757,-0.733476319227612,0.41535203758461,2.38118118744896
1673,0.941966532182208,1.0,1.0,1.17486205488952,0.8553696058274409,0.484084997929568,0.0001,22.813823769457397,63.498209576065705,87.1395564348419,0.0117501577545517,0.00698671081647251,0.007134619762393541,0.334668307503485,0.600927454187043,0.7258672872895101,0.7483683072401609,0.246235053909646,-0.615884059661078,0.5564147534431719,-0.7254048095449219,0.405204250273698,2.030231660716961
